config,n_features,val_score,submission_path,val_pred_path
split_80_20_baseline,626,0.5730181338252509,/Users/hayashikaito/Library/CloudStorage/GoogleDrive-1122hkaito@gmail.com/マイドライブ/jaggle_2026/data/output/20260811/20260811_31_linear_model_rejected_features_split_80_20_baseline.csv,/Users/hayashikaito/Library/CloudStorage/GoogleDrive-1122hkaito@gmail.com/マイドライブ/jaggle_2026/data/output/20260811/20260811_31_linear_model_rejected_features_split_80_20_baseline_valpreds.npy
split_80_20_F_grade_consistency,629,0.5728062994808343,/Users/hayashikaito/Library/CloudStorage/GoogleDrive-1122hkaito@gmail.com/マイドライブ/jaggle_2026/data/output/20260811/20260811_31_linear_model_rejected_features_split_80_20_F_grade_consistency.csv,/Users/hayashikaito/Library/CloudStorage/GoogleDrive-1122hkaito@gmail.com/マイドライブ/jaggle_2026/data/output/20260811/20260811_31_linear_model_rejected_features_split_80_20_F_grade_consistency_valpreds.npy
split_80_20_G_self_study,629,0.5694486294337251,/Users/hayashikaito/Library/CloudStorage/GoogleDrive-1122hkaito@gmail.com/マイドライブ/jaggle_2026/data/output/20260811/20260811_31_linear_model_rejected_features_split_80_20_G_self_study.csv,/Users/hayashikaito/Library/CloudStorage/GoogleDrive-1122hkaito@gmail.com/マイドライブ/jaggle_2026/data/output/20260811/20260811_31_linear_model_rejected_features_split_80_20_G_self_study_valpreds.npy
split_80_20_H_engagement,629,0.573156734764107,/Users/hayashikaito/Library/CloudStorage/GoogleDrive-1122hkaito@gmail.com/マイドライブ/jaggle_2026/data/output/20260811/20260811_31_linear_model_rejected_features_split_80_20_H_engagement.csv,/Users/hayashikaito/Library/CloudStorage/GoogleDrive-1122hkaito@gmail.com/マイドライブ/jaggle_2026/data/output/20260811/20260811_31_linear_model_rejected_features_split_80_20_H_engagement_valpreds.npy
split_80_20_I_personal_impression,629,0.5715090329059448,/Users/hayashikaito/Library/CloudStorage/GoogleDrive-1122hkaito@gmail.com/マイドライブ/jaggle_2026/data/output/20260811/20260811_31_linear_model_rejected_features_split_80_20_I_personal_impression.csv,/Users/hayashikaito/Library/CloudStorage/GoogleDrive-1122hkaito@gmail.com/マイドライブ/jaggle_2026/data/output/20260811/20260811_31_linear_model_rejected_features_split_80_20_I_personal_impression_valpreds.npy
split_80_20_K_raise_timing,629,0.5734119955526491,/Users/hayashikaito/Library/CloudStorage/GoogleDrive-1122hkaito@gmail.com/マイドライブ/jaggle_2026/data/output/20260811/20260811_31_linear_model_rejected_features_split_80_20_K_raise_timing.csv,/Users/hayashikaito/Library/CloudStorage/GoogleDrive-1122hkaito@gmail.com/マイドライブ/jaggle_2026/data/output/20260811/20260811_31_linear_model_rejected_features_split_80_20_K_raise_timing_valpreds.npy
split_80_20_M_major_job_mismatch,631,0.5657793839171422,/Users/hayashikaito/Library/CloudStorage/GoogleDrive-1122hkaito@gmail.com/マイドライブ/jaggle_2026/data/output/20260811/20260811_31_linear_model_rejected_features_split_80_20_M_major_job_mismatch.csv,/Users/hayashikaito/Library/CloudStorage/GoogleDrive-1122hkaito@gmail.com/マイドライブ/jaggle_2026/data/output/20260811/20260811_31_linear_model_rejected_features_split_80_20_M_major_job_mismatch_valpreds.npy
split_80_20_combo_all_rejected,646,0.5614943775566229,/Users/hayashikaito/Library/CloudStorage/GoogleDrive-1122hkaito@gmail.com/マイドライブ/jaggle_2026/data/output/20260811/20260811_31_linear_model_rejected_features_split_80_20_combo_all_rejected.csv,/Users/hayashikaito/Library/CloudStorage/GoogleDrive-1122hkaito@gmail.com/マイドライブ/jaggle_2026/data/output/20260811/20260811_31_linear_model_rejected_features_split_80_20_combo_all_rejected_valpreds.npy
split_75_25_baseline,626,0.5875076239311156,/Users/hayashikaito/Library/CloudStorage/GoogleDrive-1122hkaito@gmail.com/マイドライブ/jaggle_2026/data/output/20260811/20260811_31_linear_model_rejected_features_split_75_25_baseline.csv,/Users/hayashikaito/Library/CloudStorage/GoogleDrive-1122hkaito@gmail.com/マイドライブ/jaggle_2026/data/output/20260811/20260811_31_linear_model_rejected_features_split_75_25_baseline_valpreds.npy
split_75_25_F_grade_consistency,629,0.5872418098411026,/Users/hayashikaito/Library/CloudStorage/GoogleDrive-1122hkaito@gmail.com/マイドライブ/jaggle_2026/data/output/20260811/20260811_31_linear_model_rejected_features_split_75_25_F_grade_consistency.csv,/Users/hayashikaito/Library/CloudStorage/GoogleDrive-1122hkaito@gmail.com/マイドライブ/jaggle_2026/data/output/20260811/20260811_31_linear_model_rejected_features_split_75_25_F_grade_consistency_valpreds.npy
split_75_25_G_self_study,629,0.5847885419538628,/Users/hayashikaito/Library/CloudStorage/GoogleDrive-1122hkaito@gmail.com/マイドライブ/jaggle_2026/data/output/20260811/20260811_31_linear_model_rejected_features_split_75_25_G_self_study.csv,/Users/hayashikaito/Library/CloudStorage/GoogleDrive-1122hkaito@gmail.com/マイドライブ/jaggle_2026/data/output/20260811/20260811_31_linear_model_rejected_features_split_75_25_G_self_study_valpreds.npy
split_75_25_H_engagement,629,0.5879103820329231,/Users/hayashikaito/Library/CloudStorage/GoogleDrive-1122hkaito@gmail.com/マイドライブ/jaggle_2026/data/output/20260811/20260811_31_linear_model_rejected_features_split_75_25_H_engagement.csv,/Users/hayashikaito/Library/CloudStorage/GoogleDrive-1122hkaito@gmail.com/マイドライブ/jaggle_2026/data/output/20260811/20260811_31_linear_model_rejected_features_split_75_25_H_engagement_valpreds.npy
split_75_25_I_personal_impression,629,0.5856859634697429,/Users/hayashikaito/Library/CloudStorage/GoogleDrive-1122hkaito@gmail.com/マイドライブ/jaggle_2026/data/output/20260811/20260811_31_linear_model_rejected_features_split_75_25_I_personal_impression.csv,/Users/hayashikaito/Library/CloudStorage/GoogleDrive-1122hkaito@gmail.com/マイドライブ/jaggle_2026/data/output/20260811/20260811_31_linear_model_rejected_features_split_75_25_I_personal_impression_valpreds.npy
split_75_25_K_raise_timing,629,0.5862776158516131,/Users/hayashikaito/Library/CloudStorage/GoogleDrive-1122hkaito@gmail.com/マイドライブ/jaggle_2026/data/output/20260811/20260811_31_linear_model_rejected_features_split_75_25_K_raise_timing.csv,/Users/hayashikaito/Library/CloudStorage/GoogleDrive-1122hkaito@gmail.com/マイドライブ/jaggle_2026/data/output/20260811/20260811_31_linear_model_rejected_features_split_75_25_K_raise_timing_valpreds.npy
split_75_25_M_major_job_mismatch,631,0.5802147116789751,/Users/hayashikaito/Library/CloudStorage/GoogleDrive-1122hkaito@gmail.com/マイドライブ/jaggle_2026/data/output/20260811/20260811_31_linear_model_rejected_features_split_75_25_M_major_job_mismatch.csv,/Users/hayashikaito/Library/CloudStorage/GoogleDrive-1122hkaito@gmail.com/マイドライブ/jaggle_2026/data/output/20260811/20260811_31_linear_model_rejected_features_split_75_25_M_major_job_mismatch_valpreds.npy
split_75_25_combo_all_rejected,646,0.5759080898275033,/Users/hayashikaito/Library/CloudStorage/GoogleDrive-1122hkaito@gmail.com/マイドライブ/jaggle_2026/data/output/20260811/20260811_31_linear_model_rejected_features_split_75_25_combo_all_rejected.csv,/Users/hayashikaito/Library/CloudStorage/GoogleDrive-1122hkaito@gmail.com/マイドライブ/jaggle_2026/data/output/20260811/20260811_31_linear_model_rejected_features_split_75_25_combo_all_rejected_valpreds.npy
