社員ID,10年定着ラベル
E000002,0.6031923294067383
E000003,0.45546381175518036
E000004,0.5676818564534187
E000006,0.571437656879425
E000009,0.5721710249781609
E000012,0.5515217557549477
E000016,0.44800787419080734
E000017,0.605223722755909
E000018,0.45546381175518036
E000019,0.5454751402139664
E000020,0.5813458189368248
E000021,0.5522794798016548
E000024,0.5360746830701828
E000028,0.45546381175518036
E000029,0.5789314433932304
E000030,0.6540347933769226
E000032,0.5684125050902367
E000033,0.6104083582758904
E000034,0.6005377694964409
E000035,0.6131781861186028
E000040,0.5565437152981758
E000044,0.528616189956665
E000046,0.5802618190646172
E000048,0.5914581790566444
E000050,0.6909845918416977
E000051,0.5608375519514084
E000053,0.5515217557549477
E000055,0.4972229450941086
E000056,0.5667290464043617
E000057,0.44800787419080734
E000058,0.6936459243297577
E000061,0.484787218272686
E000062,0.4842592254281044
E000063,0.510998547077179
E000065,0.47983401268720627
E000067,0.49610624462366104
E000070,0.4779368042945862
E000075,0.6936459243297577
E000077,0.5705196633934975
E000080,0.48831457644701004
E000081,0.565961554646492
E000083,0.5360746830701828
E000084,0.5480986759066582
E000085,0.5737065300345421
E000087,0.4665011838078499
E000089,0.5323951616883278
E000092,0.5621728152036667
E000094,0.47088803350925446
E000097,0.4665011838078499
E000098,0.4739571213722229
E000100,0.47088803350925446
E000101,0.5952591970562935
E000103,0.5967008545994759
E000104,0.5880580320954323
E000107,0.5767880827188492
E000108,0.4994095042347908
E000111,0.5114299952983856
E000112,0.6041183844208717
E000116,0.69147889316082
E000120,0.5360746830701828
E000121,0.4906982481479645
E000122,0.6147840246558189
E000124,0.5071780607104301
E000125,0.6889110058546066
E000126,0.5485499426722527
E000127,0.5071780607104301
E000128,0.5114299952983856
E000130,0.5501188263297081
E000131,0.5556370541453362
E000137,0.587027482688427
E000138,0.47983401268720627
E000144,0.5993220657110214
E000146,0.5984840542078018
E000147,0.5094022750854492
E000148,0.5090422704815865
E000150,0.5094022750854492
E000151,0.4739571213722229
E000153,0.565961554646492
E000154,0.5619316399097443
E000155,0.477300800383091
E000157,0.5178243815898895
E000159,0.556934729218483
E000162,0.547508955001831
E000164,0.4739571213722229
E000166,0.44800787419080734
E000167,0.5094022750854492
E000168,0.6889110058546066
E000169,0.4665011838078499
E000175,0.467323400080204
E000178,0.6651939228177071
E000181,0.5579010993242264
E000182,0.5856295004487038
E000186,0.477300800383091
E000187,0.4897661581635475
E000188,0.5645435526967049
E000189,0.5676818564534187
E000191,0.5838126540184021
E000207,0.5944561958312988
E000208,0.5178243815898895
E000209,0.5343400910496712
E000214,0.5518060699105263
E000217,0.5870526358485222
E000218,0.45546381175518036
E000219,0.6037004292011261
E000223,0.5187592580914497
E000227,0.6093247458338737
E000230,0.47983401268720627
E000232,0.5868350639939308
E000234,0.4842592254281044
E000235,0.512109100818634
E000236,0.544649600982666
E000238,0.5684125050902367
E000242,0.5187592580914497
E000246,0.579894408583641
E000249,0.4665011838078499
E000252,0.6016238257288933
E000253,0.6007115617394447
E000256,0.5630983710289001
E000257,0.5645435526967049
E000262,0.5634331181645393
E000264,0.6071644574403763
E000265,0.5727495923638344
E000269,0.5363183245062828
E000270,0.5908734500408173
E000271,0.6035810261964798
E000272,0.5579010993242264
E000275,0.587027482688427
E000276,0.46842577308416367
E000277,0.5762360841035843
E000278,0.5360746830701828
E000281,0.6518914848566055
E000282,0.4665011838078499
E000284,0.5104834213852882
E000285,0.6780081391334534
E000288,0.5360746830701828
E000289,0.4688226580619812
E000291,0.48831457644701004
E000292,0.5094022750854492
E000294,0.5679308548569679
E000295,0.556934729218483
E000298,0.5178243815898895
E000299,0.6264154091477394
E000301,0.5094022750854492
E000302,0.5594223886728287
E000304,0.4665011838078499
E000315,0.5515217557549477
E000316,0.477300800383091
E000321,0.5628573074936867
E000323,0.45546381175518036
E000324,0.45546381175518036
E000328,0.47842711210250854
E000331,0.5684125050902367
E000332,0.6140748411417007
E000333,0.44800787419080734
E000337,0.556934729218483
E000339,0.5178243815898895
E000342,0.5902810096740723
E000343,0.4951513111591339
E000344,0.5522794798016548
E000345,0.467323400080204
E000346,0.6838396638631821
E000348,0.6812154054641724
E000350,0.4753459244966507
E000352,0.5418087616562843
E000359,0.5178243815898895
E000361,0.557175301015377
E000362,0.5486938282847404
E000363,0.5114299952983856
E000366,0.4739571213722229
E000367,0.5291165560483932
E000368,0.4842592254281044
E000370,0.6220578029751778
E000372,0.565961554646492
E000373,0.565961554646492
E000376,0.5809089094400406
E000378,0.561756044626236
E000379,0.5667290464043617
E000380,0.4945960268378258
E000383,0.5316455513238907
E000384,0.5684125050902367
E000386,0.6355499401688576
E000387,0.5942627340555191
E000391,0.4906982481479645
E000394,0.5667290464043617
E000395,0.484787218272686
E000396,0.5959889888763428
E000402,0.5889692232012749
E000405,0.5187592580914497
E000412,0.48831457644701004
E000414,0.5910698249936104
E000415,0.5511353835463524
E000417,0.5911089330911636
E000418,0.45546381175518036
E000420,0.5302538424730301
E000425,0.47983401268720627
E000426,0.45546381175518036
E000427,0.5486938282847404
