社員ID,10年定着ラベル
E000002,0.712264186604918
E000003,0.5339012994679526
E000004,0.5542664663560563
E000006,0.53743610462018
E000009,0.5641213088730335
E000012,0.5277507817608764
E000016,0.5328324229246537
E000017,0.581185275552585
E000018,0.5336341131434944
E000019,0.5080565227504109
E000020,0.8756710928096786
E000021,0.5462946948733198
E000024,0.5606218985725527
E000028,0.5336341131434944
E000029,0.6434061067224226
E000030,0.6291841800132115
E000032,0.5521434746680789
E000033,0.7847762352055521
E000034,0.6450137287368258
E000035,0.5221267891297497
E000040,0.579542887749914
E000044,0.5587704192792772
E000046,0.5727054054236773
E000048,0.5563872629458109
E000050,0.7133702047662076
E000051,0.6017752282571095
E000053,0.5277507817608764
E000055,0.5401045262261231
E000056,0.5288211798650343
E000057,0.5325651497303289
E000058,0.7220646555692065
E000061,0.5670227586357249
E000062,0.5304262151143108
E000063,0.539037453069186
E000065,0.5409045640365475
E000067,0.5659682612988073
E000070,0.5446348918753043
E000075,0.7170823128492201
E000077,0.5240022193374757
E000080,0.5382368876863839
E000081,0.5264123839975408
E000083,0.5603575160264644
E000084,0.5558572746923035
E000085,0.5285536077721786
E000087,0.541704367341015
E000089,0.5574468089425012
E000092,0.5358339056854741
E000094,0.5312284688221468
E000097,0.5419709154600589
E000098,0.5430368380586937
E000100,0.5223326997823813
E000101,0.7131889525650157
E000103,0.5189102224534835
E000104,0.6886266337719125
E000107,0.5242700787028752
E000108,0.539571039892975
E000111,0.5296237837615758
E000112,0.794875438256478
E000116,0.783170732111683
E000120,0.5611505475501617
E000121,0.5403712312415566
E000122,0.5173012938342962
E000124,0.5150946347338021
E000125,0.8426268563802766
E000126,0.5344981194859456
E000127,0.514826396234143
E000128,0.5290887333536594
E000130,0.5191169151204844
E000131,0.5272154748697355
E000137,0.5620081083974084
E000138,0.5409045640365475
E000144,0.6280714605722416
E000146,0.7984605193191019
E000147,0.5040299647246307
E000148,0.5363680639939706
E000150,0.5042984307060062
E000151,0.5430368380586937
E000153,0.5266800981068771
E000154,0.5446970727666995
E000155,0.5306936530070038
